Race,Working Hours,Education,Marital Status,Occupation,Industry,IsBusinessOwner,livesInCity,Medical Condition,Age
1,40,39,1,8740,3570,1,2,0,47
1,40,43,1,2550,9370,1,2,0,38
1,16,44,1,3110,8090,2,1,0,51
1,30,45,1,2330,7860,1,2,0,59
1,2,43,1,10,7860,1,1,0,62
1,37,39,6,110,7860,1,1,0,35
1,69,44,1,10,9480,1,1,0,54
1,10,43,1,310,8680,2,1,0,50
1,65,36,3,5600,6170,1,1,0,73
1,38,39,1,2200,7890,1,2,0,62
1,40,34,1,430,770,2,2,0,63
1,40,41,1,6210,770,1,1,0,55
1,40,39,1,5400,6170,1,1,0,57
1,40,34,1,8650,1180,1,1,0,50
1,15,42,1,5120,770,2,1,0,45
1,48,42,1,5620,4970,1,1,0,51
1,40,39,6,4250,7770,2,1,0,19
1,48,41,1,3800,9470,1,1,0,36
1,16,41,1,3645,8190,1,1,0,33
1,40,39,1,9130,770,1,2,0,62
1,40,39,1,8140,770,1,2,0,50
1,40,39,1,5160,6870,1,2,18,49
1,35,43,6,4420,8560,1,1,0,61
1,40,39,1,4350,290,2,2,0,53
1,45,39,1,910,6870,1,2,0,51
1,35,42,6,220,770,2,1,0,27
1,55,43,6,1540,770,1,1,0,24
1,40,39,1,6320,770,1,1,0,40
1,40,39,1,5120,770,1,1,0,38
2,30,39,1,3655,8270,1,1,0,62
1,36,39,4,7750,2280,1,1,0,50
1,55,39,5,4240,7690,1,1,0,31
1,13,39,1,4220,7690,2,1,0,67
1,12,39,1,230,7860,1,1,0,42
1,65,43,1,430,6990,1,1,0,42
1,12,37,6,4600,9290,2,1,0,17
1,10,35,6,4600,9290,2,1,0,16
1,10,31,6,2720,7890,1,1,0,15
1,45,42,1,650,6380,1,1,0,59
1,40,40,6,160,5580,1,1,0,27
1,40,41,4,9130,4470,1,1,0,61
1,24,41,6,2340,8090,1,1,0,20
2,8,36,1,4740,9070,1,1,0,34
2,50,36,1,8720,8870,1,1,0,36
2,38,43,4,1106,7860,1,1,0,50
2,10,40,6,4720,5275,1,1,0,18
1,26,43,1,3255,8370,1,1,0,62
1,15,41,1,4600,8470,2,1,0,58
1,60,42,6,4000,8660,1,1,0,36
2,4,44,1,2630,3680,1,1,0,39
2,37,39,1,5700,7860,1,1,0,38
1,69,42,1,430,7270,1,1,0,52
1,40,43,1,7340,9170,1,1,0,46
1,25,40,1,4920,7070,1,1,0,59
1,60,42,1,7800,8680,1,1,0,59
1,3,43,1,4620,8590,1,1,0,43
1,40,44,1,740,3590,1,1,0,58
1,15,43,1,50,7070,1,1,0,50
1,30,41,4,3300,8190,1,1,13,63
1,40,40,6,4200,7690,1,1,0,39
1,40,41,6,3930,7680,1,1,0,25
2,50,44,2,520,5275,2,1,0,48
1,69,46,1,3060,7970,1,1,0,63
1,40,39,1,3930,7680,1,1,0,34
1,40,43,6,1530,6380,1,1,0,31
1,40,43,6,726,9170,1,1,0,27
2,69,37,1,8810,8770,1,1,0,34
2,40,39,1,3600,8290,1,1,5,33
1,30,40,5,2300,7860,1,1,0,45
1,10,40,6,4600,8470,1,1,0,21
1,36,42,1,3320,8190,1,1,0,59
1,40,44,6,5250,9480,1,1,0,32
1,40,43,1,1360,8380,1,1,0,30
1,40,39,1,1006,7680,1,1,0,31
1,10,43,1,430,6570,2,1,0,82
1,5,44,1,4420,8560,1,1,0,75
1,40,39,5,1920,2280,1,1,0,32
1,40,41,6,7750,7580,1,1,0,55
1,40,44,1,300,3380,1,1,0,64
1,40,44,1,2630,7370,2,1,0,63
1,50,44,1,5420,7870,1,1,0,31
1,40,43,1,4920,7070,2,1,0,35
1,27,41,4,4720,4870,1,1,30,41
1,40,39,1,7700,1270,1,1,0,63
1,50,43,6,2016,8380,1,1,0,38
2,40,43,6,430,8590,1,1,0,59
1,40,41,1,5000,8990,1,1,0,54
1,40,42,1,6355,8190,1,1,0,59
1,40,41,1,5240,8190,1,1,0,60
2,20,36,5,4030,4970,1,1,0,52
2,40,43,6,2440,6770,1,1,0,42
1,30,35,6,6600,770,1,1,0,30
1,40,39,1,350,8190,1,1,0,77
1,40,43,1,110,8190,1,1,0,61
1,40,46,1,350,7870,1,1,0,63
1,25,41,6,4060,8570,1,1,0,22
1,40,43,1,3255,8190,1,1,0,58
1,40,41,1,5700,3580,1,1,0,74
1,40,46,1,1020,3380,1,1,0,28
1,40,43,4,2850,770,1,1,0,57
1,45,44,6,1430,3390,1,1,0,74
1,25,43,4,4350,9090,2,1,0,57
1,40,44,1,3258,7870,1,1,0,64
1,50,44,1,205,170,2,1,0,66
1,20,43,4,5110,7690,2,1,0,52
1,20,41,6,4110,8680,1,1,0,22
3,40,46,1,2200,7870,1,1,0,64
1,40,46,1,3060,8190,1,1,0,58
1,60,43,6,1520,380,1,1,0,58
1,40,43,1,4760,4670,1,1,0,47
1,40,43,1,430,7790,1,1,0,42
1,40,39,6,7750,3380,1,1,0,23
1,34,37,1,3930,7680,1,1,0,76
2,50,39,1,9620,2290,1,1,0,54
2,35,39,1,4020,7860,1,1,0,51
2,30,39,5,4250,7770,1,1,0,27
4,15,39,6,4760,5170,1,1,3,38
1,28,37,1,4210,7770,2,1,0,58
1,32,41,3,4230,7860,1,1,10,55
1,30,39,6,6420,770,2,1,0,53
2,40,43,1,7220,6180,1,1,0,47
2,40,39,1,9610,7690,1,1,0,38
2,40,39,6,4200,7690,1,1,0,22
1,40,44,1,4430,8590,1,1,0,30
1,50,43,1,710,7390,1,1,0,29
1,55,44,1,10,7380,1,1,0,55
1,40,43,6,4000,8680,1,1,0,31
1,40,43,6,4700,5370,1,1,0,33
1,40,43,1,1020,7380,1,1,0,62
1,30,43,6,4700,5170,1,1,0,31
1,60,44,1,2320,7860,1,1,0,62
1,40,43,1,220,770,1,1,0,62
1,43,43,4,110,9570,1,1,0,55
1,40,41,4,430,190,1,1,0,52
1,37,41,4,9600,4580,1,1,0,67
3,40,46,1,1800,6890,1,1,0,57
1,40,43,6,1030,7380,1,1,0,24
1,50,40,1,9840,9890,1,1,0,41
1,30,44,1,430,7460,1,1,0,43
1,40,39,4,2145,7190,1,1,0,61
4,35,40,6,4030,1190,1,1,0,20
1,40,45,4,430,7460,1,1,0,41
1,45,39,4,4010,8190,1,1,3,63
2,40,42,1,2300,8470,1,1,0,58
2,40,39,1,9130,770,1,1,0,60
1,45,40,4,5240,5480,1,1,0,49
1,40,42,3,1530,7290,1,1,0,73
2,40,43,1,5860,570,1,1,0,55
1,40,44,6,850,6970,1,1,0,31
1,2,41,1,6050,180,1,1,18,56
1,48,43,1,205,180,1,1,0,58
1,40,41,6,2320,7860,1,1,0,23
1,69,39,1,6840,490,1,1,0,32
1,40,42,1,3255,7860,1,1,0,27
1,40,43,4,3850,9380,1,1,0,58
1,44,43,1,3255,8190,1,1,0,52
1,40,44,1,430,8190,1,1,0,55
1,25,39,1,4720,5580,1,1,0,62
1,40,41,1,1550,8870,1,1,0,63
3,40,39,1,4240,7690,1,1,0,64
3,34,39,1,5240,8680,1,1,0,39
1,22,43,1,2600,8560,2,1,0,57
1,32,39,6,4020,8680,1,1,0,26
1,45,44,1,1300,7290,1,1,0,50
1,69,45,1,2100,7270,2,1,0,49
1,30,43,1,2830,7380,1,1,0,34
1,5,43,1,4620,8590,1,1,0,34
2,40,39,6,5620,5380,1,1,0,22
2,40,39,6,3600,8190,1,1,0,44
1,40,45,6,2100,9370,1,1,0,35
1,30,39,4,4030,8660,1,1,0,70
2,40,37,2,4230,7690,1,1,0,37
2,20,40,6,4110,8680,1,1,0,20
3,40,43,6,4010,8660,1,1,0,25
3,50,43,6,5000,8660,1,1,0,30
2,40,43,1,5620,9590,1,1,0,37
1,25,41,4,9120,6180,1,1,3,49
2,25,41,6,4010,8680,1,1,0,38
1,45,42,4,350,8090,1,1,0,52
2,20,37,6,5560,6370,1,1,0,41
2,40,42,1,4610,8170,1,1,0,52
2,25,42,1,4700,4970,1,1,0,53
2,40,43,6,3930,7680,1,1,0,28
1,40,40,5,7330,3190,1,1,0,27
4,40,41,1,2630,7370,2,1,0,64
3,40,44,1,4760,5070,1,1,0,49
1,50,43,6,150,4970,1,1,0,25
1,37,43,6,5800,7870,1,1,0,25
2,40,39,1,9620,6170,1,1,0,35
1,40,43,1,630,7590,1,1,0,31
1,45,43,1,160,4770,1,1,0,34
2,40,41,4,9410,3570,1,1,0,46
1,39,43,1,5700,7580,1,1,0,63
1,10,44,4,4110,8680,1,1,0,27
1,30,46,6,3010,7980,1,1,0,30
1,20,46,6,3010,8190,1,1,0,33
1,40,42,4,1020,6990,1,1,0,53
2,40,38,4,9600,5580,1,1,30,54
2,40,43,6,7750,3570,1,1,0,22
1,69,44,4,410,8370,1,1,0,70
1,0,39,6,2720,8590,2,2,0,21
1,40,39,4,10,4870,2,1,0,52
3,40,43,1,3255,8270,1,1,0,37
1,40,41,1,7420,770,1,1,0,36
1,40,42,4,9130,6370,1,1,0,49
1,50,43,1,430,3470,1,1,0,28
1,40,39,3,5860,1990,1,1,0,61
1,42,42,6,1550,2370,1,1,0,35
1,40,42,4,160,7680,1,1,0,31
1,50,43,4,1760,7870,1,1,0,52
1,40,44,1,5700,7070,1,1,0,28
1,45,43,1,430,1370,1,1,0,29
1,40,42,1,1020,8190,1,1,19,34
2,10,41,1,3535,8190,1,1,0,49
2,40,41,1,4400,8590,1,1,0,47
1,69,40,1,6355,9180,1,1,0,40
1,15,39,6,160,7680,1,1,0,25
1,50,39,1,1107,6695,1,1,0,51
2,65,41,6,4700,4670,1,1,25,47
1,0,39,1,4500,8970,2,1,0,87
1,45,44,4,1650,7460,1,1,0,60
1,69,46,1,3060,7970,1,1,0,53
2,40,43,1,2145,8370,1,1,0,45
2,56,43,1,3740,9470,1,1,0,42
1,25,43,1,310,8680,2,1,0,54
2,32,42,6,3500,8270,1,1,0,32
2,45,39,1,9620,4480,1,1,0,52
2,3,42,1,4110,8660,1,1,0,54
2,40,42,4,5240,2190,1,1,0,31
2,19,43,1,4760,5280,1,1,0,69
1,30,41,1,5860,7870,1,1,0,30
1,40,43,1,4710,4560,1,1,0,34
1,39,39,1,5860,7870,1,1,0,29
1,28,39,6,5350,5170,1,2,0,20
1,5,34,1,7330,8870,2,2,0,77
1,40,43,6,4620,8670,1,2,0,22
2,12,42,4,3255,7970,1,1,4,71
1,20,35,6,9640,6390,1,1,0,18
1,5,39,4,7340,8070,1,1,0,67
1,46,39,1,3930,9590,1,2,0,38
2,40,42,6,7140,6070,1,1,0,24
1,40,43,1,3300,8180,1,1,0,31
1,55,43,1,1430,6380,1,1,0,36
1,20,39,6,4720,8680,1,1,0,19
2,60,41,1,120,4670,1,1,0,32
2,40,43,1,120,6870,1,1,0,31
1,60,43,6,310,8680,1,1,0,30
1,60,45,6,310,8680,1,1,0,27
1,22,41,1,4720,5380,1,2,0,29
1,40,43,1,160,5080,1,2,0,38
1,24,42,1,9840,9890,1,1,0,45
1,50,44,1,9840,9590,1,1,0,40
1,40,39,1,430,7580,1,2,0,32
1,50,45,1,2040,9160,1,2,0,58
1,40,44,1,2310,7860,1,2,0,55
1,69,43,1,310,8680,2,2,0,56
1,55,39,1,310,8680,2,2,0,59
1,40,39,1,4230,8270,1,2,0,61
1,40,44,4,430,9590,1,1,0,48
1,20,35,6,4030,8680,1,1,0,16
1,30,40,1,850,6970,1,1,0,79
1,50,46,1,1820,8190,1,1,0,62
1,69,39,1,205,170,2,2,0,47
1,20,39,1,5160,6870,1,2,0,56
1,25,39,1,4220,7690,2,2,0,60
1,40,43,1,60,4670,1,1,0,48
1,20,31,6,9640,6390,1,1,0,15
1,50,39,6,5000,6670,1,2,0,44
1,38,42,6,5110,770,1,2,0,29
1,55,44,4,120,8190,1,1,0,58
1,30,41,4,4510,8980,2,1,10,49
1,40,39,1,7330,2290,1,2,0,66
1,40,44,6,1105,8590,1,2,0,33
1,40,42,3,7130,7680,1,2,0,48
1,32,39,6,7700,2980,1,2,0,26
1,40,39,4,4710,6190,1,1,0,63
1,40,45,6,4700,5170,1,1,0,35
1,20,43,4,2040,9160,1,2,0,52
1,40,40,6,6320,470,1,2,0,24
1,35,45,6,2100,7270,2,2,0,83
1,45,39,6,9130,4570,1,2,0,35
1,20,34,1,9120,7860,1,1,0,74
1,1,39,1,2540,7860,1,1,0,69
1,45,39,1,4710,4195,1,2,0,59
1,40,36,4,9130,770,1,1,0,53
1,30,39,4,5860,6380,1,1,0,50
1,30,35,6,4250,8590,1,1,0,24
1,30,39,1,9120,7860,1,1,0,48
2,40,40,1,7020,770,1,1,0,60
2,32,39,6,4720,4970,1,1,0,20
1,60,39,1,9510,770,2,1,0,58
2,40,46,1,2200,7870,1,1,0,44
2,36,43,1,3255,8190,1,1,0,37
1,20,41,3,9150,4670,1,2,0,66
1,40,40,4,9130,770,1,1,0,40
1,20,39,1,4940,5580,2,1,19,48
1,40,42,1,7410,570,1,2,0,41
1,32,43,1,3310,7980,1,2,0,40
1,40,36,6,6230,770,1,2,0,50
1,40,39,1,1965,7460,1,2,0,56
1,67,39,1,9130,1190,1,2,0,43
1,40,39,1,1020,6990,1,2,0,46
1,12,37,6,4030,7870,1,2,0,18
1,22,42,1,4720,8680,1,2,0,32
1,32,34,1,5110,5380,1,1,18,49
1,40,39,1,6220,770,1,1,0,51
1,40,34,3,4020,8680,1,2,0,70
1,21,40,1,4760,7860,1,2,0,52
1,40,42,1,7100,570,1,2,0,47
1,40,39,1,1020,6990,1,2,0,45
1,40,39,1,6230,770,2,2,0,61
1,37,39,1,4700,5370,1,2,0,59
1,40,39,6,7630,8590,1,2,0,38
2,40,43,1,800,8190,1,1,0,50
2,60,43,1,20,8660,1,1,0,48
3,60,31,1,9360,4970,1,1,0,55
1,40,39,6,9130,7790,1,1,0,38
1,20,39,1,5860,380,1,2,0,66
1,24,39,1,7260,8870,2,2,0,68
1,40,39,4,630,8180,1,2,0,42
1,20,36,1,9120,7860,1,2,4,66
2,30,40,1,4110,8680,1,1,0,32
1,40,39,1,8540,3895,1,2,0,54
1,40,36,1,310,8680,1,2,0,58
1,40,39,6,530,3190,1,2,0,23
1,45,45,1,2330,7860,1,1,0,39
1,40,41,1,7700,570,1,1,0,38
2,60,39,4,4600,8470,2,1,0,54
2,40,41,6,4720,4970,1,1,0,21
2,50,41,1,3800,9470,1,1,0,56
1,40,42,5,1020,6870,1,1,0,31
2,40,39,4,5810,6870,1,1,0,36
2,69,40,6,3800,9470,1,1,0,24
1,40,41,1,5240,9380,1,1,0,60
1,40,43,1,5860,7390,1,1,0,62
1,16,40,1,9150,4670,1,1,0,66
1,60,43,1,4930,7380,1,1,0,52
1,5,43,1,3255,8180,1,1,0,57
1,40,41,6,530,3190,1,1,0,23
1,25,42,1,9620,6380,1,1,0,55
1,45,44,6,150,2670,1,1,0,53
1,40,36,1,9130,2370,1,1,0,51
1,69,40,1,9130,6170,1,2,0,49
1,35,37,6,7750,3570,1,2,0,18
1,15,39,4,6230,770,2,2,4,52
1,40,43,2,1006,9480,1,1,0,44
1,50,40,4,160,2390,1,1,0,47
1,40,39,1,6355,770,1,1,0,28
1,40,43,1,1965,7460,1,1,0,23
1,50,39,1,7000,570,1,1,0,57
1,40,39,1,430,3895,1,1,0,53
1,40,39,6,4430,8270,1,1,0,25
1,25,39,1,3930,380,1,1,30,44
1,30,39,6,2320,7860,1,1,0,24
1,40,46,1,1820,9590,1,1,36,58
1,2,40,1,4760,5380,1,1,0,73
1,40,35,1,7420,6680,1,2,0,42
1,40,42,1,9840,9590,1,1,0,50
1,40,44,1,3258,8090,1,1,0,49
2,48,39,1,8030,1480,1,1,0,55
2,43,39,1,4610,8170,1,1,0,54
1,45,43,4,2310,7860,1,2,0,45
1,40,43,1,6230,770,1,2,0,39
1,40,42,4,7630,7070,2,2,0,50
1,40,39,1,20,770,1,2,0,51
1,40,41,6,6230,770,1,2,0,25
1,30,39,3,7160,8770,2,1,0,43
2,40,44,1,5000,9480,1,1,0,56
3,40,46,1,2200,7870,1,1,0,63
3,60,42,1,8350,8880,1,1,0,62
2,22,36,4,5400,6970,1,1,3,67
1,50,44,1,710,7390,2,1,0,62
1,45,43,6,830,6870,1,1,0,34
1,32,44,3,2310,7680,1,1,0,64
1,40,39,1,3645,8180,1,1,0,39
1,40,39,1,4220,6770,1,1,0,41
1,26,36,6,9620,4970,1,1,0,18
1,15,33,1,4230,7690,1,1,0,45
1,40,46,4,735,7490,1,1,0,46
1,20,36,4,2825,9170,1,2,0,25
2,45,42,6,530,3190,1,1,0,41
1,50,41,6,310,8680,1,1,0,24
1,37,43,1,4800,6480,1,1,0,41
1,40,33,2,6260,770,1,2,0,39
1,69,43,6,4210,7770,2,1,0,30
1,42,43,6,100,5590,1,1,0,28
2,25,39,1,4230,8190,1,1,0,63
1,40,39,6,630,3895,1,1,0,46
1,40,43,4,120,7860,1,1,0,37
1,40,43,4,800,7070,1,1,0,51
1,35,39,6,3640,7980,1,1,0,21
